3.0566527,0.04026,13.529,305.1168,0.136,634.1,1398,1.07,0.93,10.3
4.908897,0.06562,18.82,305.1168,0.151,1711,1793,2.11,1.56,1.861
3.105161,0.04497,16.825,260.93843,0.062,1178,1634,1.31,1.26,1.78
3.1414391,0.04714,15.816,1694.0339,0.064,2637,1998,1.84,1.41,2.17
1.6091788,0.03032,18.887,460.8535,0.057,3821,2193,1.44,1.44,0.51
3.5862202,0.05071,13.809,410.0007,0.036,1521,1741,1.75,1.35,3.02
2.2252577,0.03211,10.593,183.38791,0.519,466.6,1296,0.88,0.89,8
3.185315,0.04012,6.311,38.1396,0.17,,1084,0.81,0.85,7.8
1.8882378,0.03632,15.513,4100.007,0.18,9110,2730,1.88,1.78,0.81
3.7955202,0.03745,11.478,117.5971,0,,587,0.48,0.49,3.2
7.3279474,0.066517,8.097,39.85588,0.013,49.58,739,0.72,0.73,12.17
3.583893,0.04667,9.785,43.86054,0.376,,1324,1.09,1.06,5.1
1.915291,0.0312,13.85,,,,1746,1.56,1.1,
,53,77.342,,,,,,2.4,0.005
157.57001,0.68,,511.7063,0.09,,,10.06,2.28,
383.70001,1.03,,327.3649,0.36,,,1.04,0.83,
5.75969,0.06412,,13.22173,0.073,,,1.11,1.06,
16.357,0.12859,,12.01397,0.131,,,1.11,1.06,
49.748,0.2699,,25.58532,0.051,,,1.11,1.06,
122.744,0.4929,,22.94733,0.119,,,1.11,1.06,
604.67,1.427,,23.26516,0.263,,,1.11,1.06,
2205,3.381,,65.66368,0.095,,,1.11,1.06,
70.46,0.3,,79.4575,0.11,,,0.86,0.57,
20.8133,0.15,,54.0311,0.12,,,1.23,1.06,
4.11377,0.05,,130.3103,0,,,0.82,0.76,
127.58,0.51,,1570.0802,0.05,,,10.3,1.45,
778.09998,1.81,,2593.4928,0.21,,,9.82,3.21,
1123,,,483.1016,0.209,,,,1.3,
122.1,0.46,,16,0.34,,,,0.85,9
3090.942,4.074,,113.9,0.11,,,,0.95,
6.4947,0.0807,,305.1168,0.037,,,4.55,1.66,
47.84,0.25,,28.6047,0,,,0.88,0.8,
4.5557,0.0498,,197.046,0.086,,,0.73,0.79,3.8
5.8881,0.07,,116,0.09,,,,1.33,1.05
120.878,0.439,,11.2,0.19,,,,0.77,
55.806,0.26,,50.8528,0,,,0.74,0.62,
1032.3,2.01,,472.61321,0.132,,,1.97,1.01,
199.505,0.95,,2637.9,0.09,,,11,2.3,
1531,2.61,,2202.5619,0.48,,,1.1,1.01,
1888,3.34,,3219.6179,0.185,,,2.66,1.39,
9.55237,0.0907,2.44,12.6,0.093,,1153,1.3,1.09,4.48
21.05704,0.1536,4.35,15.2,0.22,,886,1.3,1.09,4.48
989.2,2.015,,298.75,0.15,,,1.1,1.11,1.4
3630,4.59,,3054.22,0.572,,,1.62,0.97,11.7
,650,,3496,,,1800,,1.5,0.013
1075.69,2.14,,2028.70889,0.1043,,,1.79,1.13,
48.056,0.269,,66.741,0.05,,,,1.12,
10.8985,0.102,,82.95,0.53,,,1.21,1.22,
1129,2,,1112.4,0.85,,,0.79,0.84,4.9
437.7,1.32,,767.24162,0.032,,,5.74,1.59,
394.48123,1.04,,451.3186,0.13,,,1.05,1.1,
1624,2.659,,314.64,0.239,,,,0.95,
68.27,0.33,,273.3338,0.12,,,1.07,1.2,
7.8543,0.079,,17.162,0.25,,,,1.05,7.3
